coin,px,sz,side,time,startPosition,dir,closedPnl,hash,oid,crossed,fee,tid,feeToken,twapId,usd
ETH,3280.4,0.0061,A,2025-12-09 16:20:59.990,81040.3023,Close Long,1.060302,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.006003,824278653450597,USDC,,20.010440000000003
ETH,3280.4,0.3127,A,2025-12-09 16:20:59.990,81040.615,Close Long,54.353514,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.307734,290190125516914,USDC,,1025.78108
ETH,3280.4,3.7748,A,2025-12-09 16:20:59.990,81044.3898,Close Long,656.135736,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,3.714856,412579124295032,USDC,,12382.85392
ETH,3280.4,17.0812,A,2025-12-09 16:20:59.990,81061.471,Close Long,2969.054184,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,16.80995,350060770369791,USDC,,56033.16848
ETH,3280.5,0.305,A,2025-12-09 16:20:59.990,81061.776,Close Long,53.0456,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.300165,1023618020117530,USDC,,1000.5525
ETH,3280.5,0.31,A,2025-12-09 16:20:59.990,81062.086,Close Long,53.9152,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.305086,1083441003120200,USDC,,1016.955
ETH,3280.5,2.6166,A,2025-12-09 16:20:59.990,81064.7026,Close Long,455.079072,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,2.575126,643472842115368,USDC,,8583.756300000001
ETH,3280.5,30.4832,A,2025-12-09 16:20:59.990,81095.1858,Close Long,5301.638144,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,30.000041,368863634036444,USDC,,100000.1376
ETH,3280.5,50.2949,A,2025-12-09 16:20:59.990,81145.4807,Close Long,8747.289008,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,49.497725,493307970438305,USDC,,164992.41945
ETH,3280.5,0.0068,A,2025-12-09 16:20:59.990,81145.4875,Close Long,1.182656,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.006692,951863269672749,USDC,,22.307399999999998
ETH,3280.5,0.0381,A,2025-12-09 16:20:59.990,81145.5256,Close Long,6.626352,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.037496,915757040095913,USDC,,124.98705000000001
ETH,3280.6,0.305,A,2025-12-09 16:20:59.990,81145.8306,Close Long,53.0761,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.300174,577596397594094,USDC,,1000.583
ETH,3280.6,0.305,A,2025-12-09 16:20:59.990,81146.1356,Close Long,53.0761,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.300174,915899426502591,USDC,,1000.583
ETH,3280.6,0.305,A,2025-12-09 16:20:59.990,81146.4406,Close Long,53.0761,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.300174,803119272121073,USDC,,1000.583
ETH,3280.6,15.6468,A,2025-12-09 16:20:59.990,81162.0874,Close Long,2722.856136,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,15.399267,726499605596952,USDC,,51330.89208
ETH,3280.6,3.6881,A,2025-12-09 16:20:59.990,81165.7755,Close Long,641.803162,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,3.629754,403793404849665,USDC,,12099.180859999999
ETH,3280.6,0.0061,A,2025-12-09 16:20:59.990,81165.7816,Close Long,1.061522,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.006003,65443359709162,USDC,,20.01166
ETH,3280.7,9.5477,A,2025-12-09 16:20:59.990,81175.3293,Close Long,1662.445524,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,9.396941,427459009028596,USDC,,31323.13939
ETH,3280.7,0.9372,A,2025-12-09 16:20:59.990,81176.2665,Close Long,163.185264,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.922401,64202647502735,USDC,,3074.67204
ETH,3280.7,0.1,A,2025-12-09 16:20:59.990,81176.3665,Close Long,17.412,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.09842,916266360273565,USDC,,328.07
ETH,3280.7,0.305,A,2025-12-09 16:20:59.990,81176.6715,Close Long,53.1066,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.300184,683876519336028,USDC,,1000.6134999999999
ETH,3280.7,41.0826,A,2025-12-09 16:20:59.990,81217.7541,Close Long,7153.302312,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,40.433905,6908046587048,USDC,,134779.68581999998
ETH,3280.7,0.305,A,2025-12-09 16:20:59.990,81218.0591,Close Long,53.1066,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.300184,234142661920370,USDC,,1000.6134999999999
